offensive,text
0,האשכול הבא
0,יצירת קשר
0,צוות משוב ותמיכה
0,החברה המתפעלת
0,תנאי השימוש
0,מדיניות הפרטיות
0,זכויות יוצרים
0,צוות הקהילה
0,איך לשאול שאלה?
0,בדיקת אייפי
0,אחסון אתרים
0, כניסה לחשבון
0,"				דפים לעורכים שלא נכנסו לחשבון מידע נוסף"
0,עמוד ראשיברוכים הבאיםשינויים אחרוניםערכים מומלציםפורטליםערך אקראיתרומה לוויקיפדיה
0,שער הקהילהעזרהייעוץמזנוןכיכר העירחדשותלוח מודעותיצירת קשרספר אורחים
0,דפים המקושרים לכאןשינויים בדפים המקושריםדפים מיוחדיםקישור קבועמידע על הדףציטוט הדף הזהפריט ויקינתונים
0,במיזמים אחרים
0,קישורי השפה נמצאים בראש הדף מול כותרת הערך. לעבור למעלה.
0,תוכן עניינים
0,העברה לסרגל הצד
0,"					שינוי מצב התת־פרק שימושים"
0,"						מצב תוכן העניינים"
0,כוס (כלי)
0,עריכת הקישורים
0,קריאהעריכת קוד מקורעריכהגרסאות קודמות
0,"מתוך ויקיפדיה, האנציקלופדיה החופשית"
0," כוס זכוכית מלאה מיםכוס היא כלי לשתייה. הכוס צרה יחסית לגובהה, בניגוד לקערה שהיא רחבה כגובהה או יותר מכך."
0,כוס נבדלת מספל בכך שלספל יש ידית ואילו הכוס צרה בהרבה וכך נוחה יותר לאחיזה בלא ידית. הכוס נבדלת מגביע השתייה בכך שאין לה רגל.
0,מאפיינים[עריכת קוד מקור | עריכה]
0, פעוטות שותים מכוסות
0,כוס קטנה קרויה כוֹסית. הנפח של כוסית נפוצה הוא כרבע או כחמישית מנפחה של כוס נפוצה. עקב נפחה הקטן משמשת הכוסית בעיקר לשתיית משקאות חריפים. כוס קטנה המשמשת לשתיית משקה בלגימה אחת מהירה קרויה כוס-שוטים.
0,"בעת ההגשה, כוסות מונחות לעיתים על צלוחית תואמת, במטרה להגן על השולחן שעליו הן מוצבות. בפאבים נהוגה הגשת כוסות בירה ומשקאות חריפים אחרים על גבי תחתית העשויה משעם, נייר וכדומה."
0,שימושים[עריכת קוד מקור | עריכה]
0,כוסות נבדלות גם בשימוש שנעשה בנוזל המוכל בהן:
0,"כוס פלסטית אשר צינורית הצמודה לדופנה מהווה חלק אינטגרלי ממנה, להשקיית פעוטות."
0,"כוס מידה, המצוידת בשנתות לצורך ציון נפח הנוזל או האבקה שבתוכה. עשויות להיות על הכוס מספר שנתות, המתרגמות את הנפח למשקל עבור חומרי בישול נפוצים בצפיפויות שונות."
0,כוסות לשתיית משקאות שונים[עריכת קוד מקור | עריכה]
0, כוסות זכוכית מסוגים שונים
0,"מקובל לשתות בכוסות שונות משקאות שונים. לעיצוב הכוס חלק בהנאה מן המשקה, בעיקר בהבאת המשקה לטמפרטורה המתאימה, באצירת הארומה ובהצגת גונו של המשקה (בכוסות שקופות)."
0,יין בגביע (כוס בעלת רגל דקה וארוכה)
0,שתייה קלה בכוס ארוכה. המשקה ממלא חלק ניכר מן הכוס.
0,משקאות חריפים בלתי מהולים בכוס אולד פאשן או בכוס ויסקי גלנקיירן שגובהה מעט יותר מקוטרה. המשקה ממלא חלק קטן מן הכוס.
0,"תה בכוס תה ייעודית, המהווה שילוב בין ספל לכוס. מדובר בכוס זכוכית, אשר התה אינו מותיר בה סימנים, ואשר מבודדת מן היד האוחזת בה באמצעות אוזן פלסטית או מתכתית המורכבת על הכוס."
0,גביע[עריכת קוד מקור | עריכה]
0, ערך מורחב – גביע (כלי)
0,"גביע הוא כוס בעלת רגל דקה וארוכה. לרוב הגביע עשוי זכוכית, אך ניתן למצוא גם גביעי מתכת (בעיקר כסף) או חרסינה. גביעים בצורות שונות משמשים למגוון משקאות, ביניהם - גביע שמפניה, גביע יין וגביע מרטיני."
0,שימוש חד פעמי[עריכת קוד מקור | עריכה]
0,"קיימות גם כוסות חד-פעמיות מקלקר, נייר או פלסטיק."
0,כוס נייר[עריכת קוד מקור | עריכה]
0, ערך מורחב – כוס נייר
0,כוס נייר היא כלי קיבול לשתייה העשוי מנייר. על פי רוב כוס נייר מיועדת לשימוש חד פעמי למנת שתייה עבור אדם אחד.
0,לרוב כוס הנייר מכוסה בחלק הפנימי בחומר המונע מהנוזל המאוחסן בה להיספג בנייר או לדלוף. חומר זה יכול להיות שעווה או פלסטיק.
0,כוס תרמית[עריכת קוד מקור | עריכה]
0,"כוס תרמית או ספל תרמי היא כוס בעלת דפנות כפולות, עשויות פלסטיק או נירוסטה, שביניהן אוויר, ולה מכסה שבו פתח הניתן לפתיחה וסגירה. מבנה זה מספק בידוד תרמי, המאפשר לכוס לשמור על הטמפרטורה של הנוזל שבכוס למשך שעות אחדות, בדומה לתרמוס."
0,ראו גם[עריכת קוד מקור | עריכה]
0,קישורים חיצוניים[עריכת קוד מקור | עריכה]
0,מיזמי קרן ויקימדיה ערך מילוני בוויקימילון: כוס ציטוטים בוויקיציטוט: כוס (כלי) תמונות ומדיה בוויקישיתוף: כוסות
0,הערות שוליים[עריכת קוד מקור | עריכה]
0,"^ גם זכר גם נקבה באתר ""השפה העברית"""
0,קטגוריות: כלי הגשהציוד בר
0,ייתכן שישנם תנאים נוספים.
0, אפשרויות חיפוש 
0, קפיצה מהירה 
0, קישורים שימושיים
0,העלאת תמונות
0,ויראלי ברשת
0, קפיצה מהירה לקטגוריה
0,דיון עזרה וייעוץ
0,ספורט ובריאות
0,פנאי ובידור
0,וידאו וסרטים
0,מחשבים ואינטרנט
0,תכנות ובניית אתרים
0,סדרות טלוויזיה
0,משחקי פעולה
0,גרפיקה ואומנות
0,"אוהדים בחו""ל"
0,משחקי תפקידים
0,לימודים והשכלה
0,אוהדים בארץ
0,משחקי אסטרטגיה
0,פורומי מערכת
0, קפיצה 
0, הגדרות 
0,נעיצת האדר:
0,התחבר facebook
0,התחברות לאתר
0,הרשמה לאתר
0,  
0,דף הבית
0,הודעת מערכת
0,אתה לא מחובר או שאין לך אישור להכנס לעמוד הזה.
0,זה יכול לקרות עקב מספר סיבות:
0,אינך מחובר. מלא את הפרטים בתחתית העמוד ונסה שנית.
0,ייתכן ואין לך את ההרשאות המתאימות לגשת לדף זה.
0,האם הינך מנסה לערוך הודעה של מישהו אחר? לגשת ללוח בקרה לניהול?
0,"אם ניסית לפרסם הודעה, יכול להיות כי מנהלי הקהילה נידו אותך או שחשבונך ממתין לאישור."
0,ייתכן ותצטרך להרשם כאן לפני שתוכל לצפות בעמוד זה.
0,שם משתמש:
0,יצירת קשר
0,צוות משוב ותמיכה
0,החברה המתפעלת
0,תנאי השימוש
0,מדיניות הפרטיות
0,זכויות יוצרים
0,צוות הקהילה
0,איך לשאול שאלה?
0,בדיקת אייפי
0,אחסון אתרים
0,"דיון, עזרה וייעוץ"
0,דיון| אורורה לא נטענת עם פרטנר פייבר ממש
0,הרשמה באמצעות facebook
0,הוסף לקריאה מאוחרת
0,הסר מקריאה מאוחרת
0,הגדרות אשכול
0,הצג גרסא להדפסה
0,שלח אשכול זה לחבר…
0,הירשם לעדכוני אשכול זה…
0,אורורה לא נטענת עם פרטנר פייבר ממש
0,צפה בפרופיל
0,חפש הודעות
0,הודעה פרטית
0,כאשר אני מנסה להתחבר לחנות אורורה באנדרואיד אני נאלץ לחכות ממש מלא זמן תחת פרטנר סיבים
0,דבר שלא קורה בחיבור הסלולרי. בחיבור הסלולרי נטען מאוד מהר.
0,מה עושים?
0,(תגובה אחת)
0,פרטנר סיבים
0,איך הסיבים של פרטנר?
0,הצג עוד
0,האשכול הקודם
0,האשכול הבא
0,איך אני מבטל את החידוש אוטמטי ל מנוי ps plus  פעם היה רשום auto renew ואז הייתי מבטל את זה . היום רשום cancel subscription 
0,כפרה עלייך
0,"חומוס, צ'יפס, סלט זכית בשינוי ניק!"
0,שם פרטי פרטי
0,נו תעשה cancel 
0,זה מבטל לך רק שמסתיים המנוי ולא מהרגע שאתה לוחץ
0, הגב עם ציטוט
0,תוצאה| מודים בפאר קריי
0,מודים בפאר קריי
0,ילדת הפרחים
0,שם פרטי אלוהים
1,הייתה רוצה להתחלף איתי בגורל? תקח בחשבון שאתה תהיה טרנס כמוני ותצטרך לעשות לייזר ולקחת הורמונים כל החיים ואין לך הורים להישען עליהם ואתה תהיה נכה כמוני 
0,פאר קריי
0,זה לא האנגר
1,תפתחי בהאנגר לא פה
0,למרות שגם שם פעם אחת מחקו כי עוקבים פה אחרי כל דבר
0, פורסם במקור על ידי navyworld
0,איפה זה?
0, פורסם במקור על ידי ילדת הפרחים
0,סקר| במה נח לכם יותר לתקף נסיעה ברב קו או בישומון?
0,במה נח לכם יותר לתקף נסיעה ברב קו או בישומון?
0,שלמה מזרחי אסטרו
0,שם פרטי שלמה
0,שאה שנובעת מטעמי נוחות.
0,לי יותר נח בישומון.
0,מה איתכם?
0,"שכחתי לשים סקר, ובעריכה אי אפשר."
0,לתקף בישומון בסריקה על מדבקה או על צג התיקוף?
0,תיקוף ברב קו או בישומון.?
0,לתקף ברב קו או ביסומון?
0,לתקף ברב קו או בישומון?
0,עידו ツ
0,שם פרטי עידו ツ
0,עזרה| אלגברה ליניארית עזרה בבקשה
0,אלגברה ליניארית עזרה בבקשה
0,אשמח לעזרה
0,אלגברה ליניארית- איך למצוא קבוצה פורשת למרחבים/תתי מרחבים ספציפיים
0,אלגברה ליניארית
0,אלגברה ליניארית | מערכת משוואות ליניארית והומוגנית מתאימה
0,נבדוק מגבלות נוספות לפי משפט המימדים:
0,סעיף ב:
0,למה רק האי שוויון הראשון שרשמת?
0,לא הבנתי את השאלה.
0,אתה לא מבין מאיפה נובע אי השוויון הראשון שכתבתי?
0,כלומר את החלק הזה?
0,מרחב הסכום של תתי מרחבים וקטורים הוא תת מרחב של המרחב הוקטורי.
0,אלגברה ליניארית מטריצות הפוכות
0,אלגברה ליניארית - הוכחת משפט
0,באתר מותקנת מערכת לתצוגת משוואות עבור משתמשים רשומים.
0,הרשמה / התחברות
0,דיונים ואקטואליה
0,פרסום| עובדי שיפוצים בפולין מצאו רכוש של יהודים שהושמדו בבניין
0,עובדי שיפוצים בפולין מצאו רכוש של יהודים שהושמדו בבניין
1,יהודים משועממים מסמנים בתל אביב ציוד של עובדי שגרירות רוסיה
0,"""תיעוד מערב שבת - ערבי מצית שריפה בבניין של יהודים בלוד."""
1,לינדה סרסור הפלסטינית יו אס איי תוקפת את idf על הצלת יהודים בבניין
0,"מפתיע: יהודים בתקופת התנ""ך אכלו בשר לא כשר"
0,רפורמים הם אינם יהודים
0,החרדים זועמים ודורשים להפסיק הפצת סקר שמסית נגד חרדים בין עובדי המדינה
0,איזה עצוב זה יהודים לא בטוחים בשום מקום בעולם - אפילו לא בישראל .
0,דיון| הפרישה המוזיקלית של סטטיק ובנאל הרסה להם תקרירה
0,הפרישה המוזיקלית של סטטיק ובנאל הרסה להם תקרירה
0,שמו לב מאז שהם נפרדו מוזיקלית הם כבר גמורים אין להם הופעות או שירים חדשים
1,"ליאור שליין על מירב מיכאלי: ""היא הרסה את השפה העברית"""
0,למה סטטיק ובן אל נפרדו מוזיקלית
0,רון נשר בריאיון בצינור.... ..סטטיק ובנאל.. התעשיה..
0,אבל מה עם העסקים הקטנים?
0,מה איתם
0,חייבים לעזור לעסקים הקטנים ולא להתאכזר אליהם 
0,אני עוזר כל יום לעסקים הקטנים
0,זה מבאס כי ממש אהבתי את השירים שלהם ורציתי שהם יוציאו עוד.
0,"בליכוד מנסים לקדם עם אורבך את עסקת הפרישה, הוא מסנן את השיחות מהם"
0,"בגלל שצחק מקללות של ""הצל"": אחמד טיבי תוקף את סטטיק"
0,תגידו מה הסיפור עם סטטיק ואלה לי הם בקשר רוצנטי או משהו?
0,סטטיק תובע את רון נשר על סך רבע מיליון שקל
0,האנגר ספורט ואוהדים
0,מכבי חיפה - כדורסל
0, מכבי חיפה
0,עבור לעמוד:  
0,מכבי חיפה
0,זה נראה שהפורום הזה מספיק מת @navyworld 
1,גם עכשיו אני עובר ייסורי גיהנום אז אין לי טעם להתחלף איתך
0,אני פשוט כבר לא פורק על זה בפורום פעם הייתי רושם המון אבל כולם רק מרגיזים יותר עם התשובות שלהם אז זה חסר טעם
0,כן ותחשוב שאם הייתה אני הייתה צריך לפחד מכל הקטע של היציאה מהארון ולהסתובב ברחוב
0,זה גיהנום מסוג שונה אבל גם לי יש חרדות כל הזמן בגלל הבעיות ויסות חושי ובכללי כנראה כי יש לי הפרעות חרדה ואוטיזם
1,כן רוב האנשים פה טיפשים נרקיסיסטים לא רגישים בכלל
0,גם מרגיש לא בנוח לכתוב דברים אישיים עליי כבר
0,בעיקר במלב אל לב
0,פשוט אז הייתי נואש לעזרה
0,כן גם אני הפסקתי אני הבנתי שרוב האנשים הם נורמים אנשים חרא שיש להם גורל טוב ולא יודעים מזה סבל אמיתי
0,כן ומה שהכי נורא אצלי שהגוף שלי מכריח אותי לשמור על הבריאות כי אחרי זה מרגיש רע יותר למרות שאני לא באמת רוצה
1,אני רוצה לפרוש מהאתר הרעיל הזה רוג האנשים פה הם רעילים הנכים פה יותר רעים מהנורמים אני רוצה לפרוש לתמיד אבל אין לי שום דבר אחר לעשות אי אפשר לפרוש מפה
1,אני הצלחתי שבוע להיות בלי מכשירים בכלל אבל התחרפנתי מהשיעמום ורציתי זין יותר מבדרך כלל
0,אני חושב שאנחנו מורגלים לזה מידי וכנראה גם יש לנו הפרעות קשב אז כל הזמן חייבים גירויים
0,מה עשית במשך השבוע בלי המכשירים? איך החזקת הרבה זמן
0,לי אין מה לעשות בלי הטלפון חוץ מלהסתכל על הקיר
0,בגרויות ומה שביניהן
0,משתמש מומחה בפורום בגרויות ומה שביניהן
0,"השימוש בזמנים מושלמים הוא לא הכרחי, אך מומלץ מאד."
0,"זה לא קשה, ותמיד ניתן למצוא הזדמנויות להכניס זמנים כאלה לחיבור."
0,"צורות מתוחכמות אחרות - משפטי תנאי, סביל, זמנים ממושכים וכו'."
0,אם השפה תהיה פשטנית מדי - זה עלול לפגוע בניקוד על המטלה
0,מנהל פורום בגרויות ומה שביניהן והיכל התהילה לשעבר
0,"תודה, אני מחפש משפטים מורכבים כאלו שאפשר לשלב בכל מטלת כתיבה ללא תלות בנושא שעליו צריך לכתוב. למשל במשפט פתיחה או משפט סיום כמו שציינת. "
0,"ואם אפשר עוד דוגמאות, אשמח"
0,תודה 
0,מפקח קטגוריית לימודים והשכלה
0,שם פרטי מתן
0,מצטרף לתשובה!
0,השכלה גבוהה
0,"שאלה| האם ניתן לעשות תואר במדמ""ח תוך שילוב עבודה במשרה חלקית?"
0,"האם ניתן לעשות תואר במדמ""ח תוך שילוב עבודה במשרה חלקית?"
0,משתמש כבוד
0,"מצאתי תואר במדמ""ח שמתאים לאנשים שעובדים עם יומיים וחצי לימוד בשבוע (שני, רביעי ושישי. כולל סמסטר קיץ). "
0,"לכל תואר אחר הייתי חושב שזה מספיק זמן, אבל בגלל כל הדיבורים על כמה שהתואר טובעני אני מתלבט-חושש מאוד. "
0,מה דעתכם? אפשרי או שאתקשה?
0,"אילו קורסים כדאי לי לקחת לפני תואר במדמ""ח בבר אילן?"
0,"ייעוץ לפני תואר במדמ""ח"
0,הכנה לקראת תואר במדמ״ח
0,שם פרטי ירין
0,במכללה במסלול ערב אפשרי בהחלט
0,שם פרטי ןןןןןןןן�
0,כן בטח במכללות גם בפתוחה
0,כמה שילוב תואר דו חוגי עם לימודי משפטים משתלם לשכר
0,"תואר במדמ""ח מכללה או אוניברסיטה"
0,"תואר במדמ""ח בשילוב עם מדעי החיים או רק מדמ''ח עם כמה קורסים של ביולוגיה"
0,כמה קשה זה תואר במדמח יחד עם עבודה במשרה מלאה
0,צבא וביטחון
0,דיון| תעודת נסיעה חופשית לחיילים
0,תעודת נסיעה חופשית לחיילים
0,שם פרטי אלון
0,"יש לי מיון שאני צריך לקחת בו רכבת , הטענתי עכשיו בחינם מהאתר של מיטב האם אני יכול ללכת לתחנת רכבת להעביר רב קו להגיע לשם ולחזור ברכבת וזה לא יחייב לי כלום או שזה רק רלוונטי לאוטובוסים?"
0,תעודת לוחם נסיעה
0,תעודת שוטר (מגב)
0,קיבלתי עכשיו תעודת שחרור אבל אני בקבע
0,שאלה על תעודת לוחם/לוחם חוד
0,שם פרטי אריק
0,אתה אמור לדעת דברים כאה בהתחשב בעובדה שאתה נוסע כל שבוע בתחבורה ציבורית
0,זה לא אמור להיות חדש לך
0,סקר| האם לדעתכם יש חיים על כוכבים אחרים.?
0,צפה בתוצאות הסקר: האם לדעתכם יש חיים על כוכבים אחרים.?
0,סה״כ הצביעו:
0,האם לדעתכם יש חיים על כוכבים אחרים.?
0,"אני בתור חובב אסטרונומיה נמשך להאמין שיש, ולפי ספר הזוהר, הרב כמדומני היה מרדכי אליהו אמר שחיים יש רק בכדור הארץ."
0,"אם דיברו על תנאים נדירים מאוד שאמורים להתקיים בשביל חיים, שזה אומר כוכב דומה לשמש שלנו, ופלנטה בגודל של כדור הארץ ובמרחק שיתאים להתפתחות של חיים. מים ואוקיינוסים וצמחיה. וגם שהכוכב יהיה בקצה הגלקסיה, בשביל לא לקבל קרינה חזקה מכוכבים אחרים, עם אטמוספירה כמו שלנו, עם כוכבי לכת ענקיים שימשכו אליהם את כל הגופים שאמורים להגיע לאותה פלנטה ספציפית, כמו שצדק מושך אליו את רוב הגופים שאמורים לפגוש את כדור הארץ. כלומר שכל התנאים הנדירים האלה ייתקימו הוא לא גבוה."
0,"אך עם מספר עצום ובלתי נתפס של כוכבים, אינני מוצא סיבה לפי נתון סטטיסטי מה יכול למנוע מזה מלקרות."
0,"אם להאמין שאנחנו לבד ביקום, זה רק מסיבות דתיות של הזוהר. אחרת מסיבה סטטיסטית מה יכול למנוע פיתוח חיים בכוכבים אחרים.?"
0,לא זמין
0,שם פרטי לא זמין
0,כושר ופיתוח גוף
0,שאלה| מאמנים אמות?
0,מאמנים אמות?
0,שם פרטי שליו
0,אם כן כמה סטים ואיזה תרגלים ?
0,לבודד אמות
0,לדעתכם מאמנים אישיים עושים משכורת טובה?
0,תרגילי אמות נחשבים תרגיל לאימון?
1,מאמנים שרמוטות כולם כוסאמאמא של התעשייה השיטה נחשפה נחשים מסריחים
0,שם פרטי אביה
1,אני אישית לא מופתע תמות חתיכת אפס 
0,מחשבים ניידים
0,בקשת המלצה|
0,"(אם המחשב נרכש באילת, יש לציין זאת)"
0,מהם השימושים העיקריים במחשב?
0,עבודה משרדית
0,"במידה ותשחקו במשחקים, על אילו משחקים מדובר ובאיזו איכות?"
0,"במידה ומשתמשים בתוכנות, על אילו תוכנות מדובר?"
0,"(במסגרת עבודה, לימודים אקדמיים וכדומה)"
0,מתי מתוכננת הרכישה?
0,(מומלץ לרכוש בזמן הקרוב לאחר פרסום טופס זה)
0,האם יש חברה מועדפת ולא מועדפת למחשב הנייד?
0,לא מועדפת: אין
0,עם או בלי מערכת הפעלה ואיזו?
0,גודל מסך?
0,משקל מחשב?
0,"(האם המחשב יישאר על השולחן לרוב, יעבור ממקום למקום בדרך כלל או גם וגם)"
0,גודל אחסון?
0,*יש לקחת בחשבון שמערכת ההפעלה לוקחת מקום מראש.
0,זמן סוללה?
0,אין חשיבות לסוללה
0,*מסך קטן יספק יותר זמן ביחס לגודל הסוללה.
0,*שימוש כבד על סוללה לא יחזיק הרבה שעות.
0,דגשים מיוחדים אחרים?
0,מנהל פורום מחשבים ניידים
0,אוהדים בחו''ל – כללי
0,דיון| אפילו קפטנית קבוצת הנשים של ארגנטינה יודעת מי הגואט האמיתי
0,אפילו קפטנית קבוצת הנשים של ארגנטינה יודעת מי הגואט האמיתי
0,בנסון הבוכרי
0,שם פרטי בנסון
0,סקנדל בברזיל: המשחק מול ארגנטינה פוצץ
1,אוהדי ריאל מגעילים אותי. כל היום מתלוננים שפריז קבוצת כסף
0,הקרב האמיתי מתחיל עכשיו
0,אפילו היא יודעת
0,שם פרטי ליאור
0,טוב אחי
1,נראית כמו אלירן שוקרון
0,מנהל פורום אומנויות לחימה לשעבר
0,"עזוב שטויות, אלישה לוקחת אותה"
0,רונאלדו עם 0 שערים בליגת החוואים של סעודיה העונה חח
